date,latitude,longitude,rainfall_mm
2019-07-24,27.0,86.75,41.764869689941406
2019-07-24,27.0,87.0,41.764869689941406
2019-07-24,27.0,87.25,41.764869689941406
2019-07-24,27.0,87.5,41.764869689941406
2019-07-24,27.0,87.75,41.764869689941406
2019-07-24,27.0,88.0,41.764869689941406
2019-07-24,27.0,88.25,159.81309509277344
2019-07-24,27.0,88.5,250.94314575195312
2019-07-24,27.25,83.5,55.852821350097656
2019-07-24,27.25,83.75,84.84586334228516
2019-07-24,27.25,84.0,98.64183807373047
2019-07-24,27.25,84.25,150.4923858642578
2019-07-24,27.25,84.5,87.01655578613281
2019-07-24,27.25,84.75,63.46256637573242
2019-07-24,27.25,85.0,33.318885803222656
2019-07-24,27.25,85.25,33.318885803222656
2019-07-24,27.25,85.5,33.318885803222656
2019-07-24,27.25,85.75,33.318885803222656
2019-07-24,27.25,86.0,33.318885803222656
2019-07-24,27.25,86.25,33.318885803222656
2019-07-24,27.25,86.5,33.318885803222656
2019-07-24,27.25,86.75,33.318885803222656
2019-07-24,27.25,87.0,33.318885803222656
2019-07-24,27.25,87.25,33.318885803222656
2019-07-24,27.25,87.5,33.318885803222656
2019-07-24,27.25,87.75,33.318885803222656
2019-07-24,27.25,88.0,33.318885803222656
2019-07-24,27.25,88.25,25.2093505859375
2019-07-24,27.25,88.5,25.07491683959961
2019-07-24,27.5,83.5,66.5427017211914
2019-07-24,27.5,83.75,102.16629028320312
2019-07-24,27.5,84.0,105.74988555908203
2019-07-24,27.5,84.25,121.77891540527344
2019-07-24,27.5,84.5,106.13951873779297
2019-07-24,27.5,84.75,29.88092613220215
2019-07-24,27.5,85.0,29.88092613220215
2019-07-24,27.5,85.25,29.88092613220215
2019-07-24,27.5,85.5,29.88092613220215
2019-07-24,27.5,85.75,29.88092613220215
2019-07-24,27.5,86.0,29.88092613220215
2019-07-24,27.5,86.25,29.88092613220215
2019-07-24,27.5,86.5,29.88092613220215
2019-07-24,27.5,86.75,29.88092613220215
2019-07-24,27.5,87.0,29.88092613220215
2019-07-24,27.5,87.25,29.88092613220215
2019-07-24,27.5,87.5,29.88092613220215
2019-07-24,27.5,87.75,29.88092613220215
2019-07-24,27.5,88.0,29.88092613220215
2019-07-24,27.5,88.25,27.329702377319336
2019-07-24,27.5,88.5,26.2296199798584
2019-07-25,24.5,83.5,28.267648696899414
2019-07-25,24.5,83.75,42.467491149902344
2019-07-25,24.5,84.0,76.54676818847656
2019-07-25,24.5,84.25,38.84358215332031
2019-07-25,24.5,84.5,26.24127197265625
2019-07-25,24.5,84.75,21.915767669677734
2019-07-25,24.5,85.0,10.575811386108398
2019-07-25,24.5,85.25,14.433093070983887
2019-07-25,24.5,85.5,21.30230712890625
2019-07-25,24.5,85.75,26.361862182617188
2019-07-25,24.5,86.0,18.40096664428711
2019-07-25,24.5,86.25,20.367277145385742
2019-07-25,24.5,86.5,20.334230422973633
2019-07-25,24.5,86.75,18.517333984375
2019-07-25,24.5,87.0,40.48690414428711
2019-07-25,24.5,87.25,55.92108154296875
2019-07-25,24.5,87.5,64.2310562133789
2019-07-25,24.5,87.75,113.0241928100586
2019-07-25,24.5,88.0,75.9022216796875
2019-07-25,24.5,88.25,53.04682159423828
2019-07-25,24.5,88.5,35.36643981933594
2019-07-25,24.75,83.5,61.98537826538086
2019-07-25,24.75,83.75,51.81467819213867
2019-07-25,24.75,84.0,51.18578338623047
2019-07-25,24.75,84.25,37.931495666503906
2019-07-25,24.75,84.5,22.66277503967285
2019-07-25,24.75,84.75,14.226895332336426
2019-07-25,24.75,85.0,9.903448104858398
2019-07-25,24.75,85.25,16.189470291137695
2019-07-25,24.75,85.5,11.73102855682373
2019-07-25,24.75,85.75,1.8343478441238403
2019-07-25,24.75,86.0,27.038511276245117
2019-07-25,24.75,86.25,35.44877624511719
2019-07-25,24.75,86.5,34.96889114379883
2019-07-25,24.75,86.75,11.342856407165527
2019-07-25,24.75,87.0,16.78936767578125
2019-07-25,24.75,87.25,45.77119445800781
2019-07-25,24.75,87.5,49.51992416381836
2019-07-25,24.75,87.75,63.08161544799805
2019-07-25,24.75,88.0,60.34779357910156
2019-07-25,24.75,88.25,67.35865783691406
2019-07-25,24.75,88.5,67.35865783691406
2019-07-25,25.0,83.5,67.35865783691406
2019-07-25,25.0,83.75,62.22264099121094
2019-07-25,25.0,84.0,51.048858642578125
2019-07-25,25.0,84.25,44.01932907104492
2019-07-25,25.0,84.5,16.189870834350586
2019-07-25,25.0,84.75,12.722297668457031
2019-07-25,25.0,85.0,17.517745971679688
2019-07-25,25.0,85.25,20.331390380859375
2019-07-25,25.0,85.5,6.208364486694336
2019-07-25,25.0,85.75,8.1559419631958
2019-07-25,25.0,86.0,15.832520484924316
2019-07-25,25.0,86.25,32.96226501464844
2019-07-25,25.0,86.5,27.76154327392578
2019-07-25,25.0,86.75,14.208500862121582
2019-07-25,25.0,87.0,36.506832122802734
2019-07-25,25.0,87.25,22.00255584716797
2019-07-25,25.0,87.5,7.3414130210876465
2019-07-25,25.0,87.75,36.944061279296875
2019-07-25,25.0,88.0,32.364830017089844
2019-07-25,25.0,88.25,13.621615409851074
2019-07-25,25.0,88.5,62.21976852416992
2019-07-25,25.25,83.5,62.21976852416992
2019-07-25,25.25,83.75,50.974876403808594
2019-07-25,25.25,84.0,25.536535263061523
2019-07-25,25.25,84.25,17.071083068847656
2019-07-25,25.25,84.5,11.555937767028809
2019-07-25,25.25,84.75,8.619426727294922
2019-07-25,25.25,85.0,9.125083923339844
2019-07-25,25.25,85.25,6.412850379943848
2019-07-25,25.25,85.5,3.740884780883789
2019-07-25,25.25,85.75,9.452113151550293
2019-07-25,25.25,86.0,15.152972221374512
2019-07-25,25.25,86.25,36.93160629272461
2019-07-25,25.25,86.5,34.07527160644531
2019-07-25,25.25,86.75,63.0
2019-07-25,25.25,87.0,11.632149696350098
2019-07-25,25.25,87.25,8.314526557922363
2019-07-25,25.25,87.5,7.55636739730835
2019-07-25,25.25,87.75,26.15325164794922
2019-07-25,25.25,88.0,21.251880645751953
2019-07-25,25.25,88.25,5.660425662994385
2019-07-25,25.25,88.5,3.5098624229431152
2019-07-25,25.5,83.5,0.3801502287387848
2019-07-25,25.5,83.75,1.133538007736206
2019-07-25,25.5,84.0,9.847655296325684
2019-07-25,25.5,84.25,10.28402328491211
2019-07-25,25.5,84.5,1.1776456832885742
2019-07-25,25.5,84.75,21.89427375793457
2019-07-25,25.5,85.0,17.68752098083496
2019-07-25,25.5,85.25,24.064023971557617
2019-07-25,25.5,85.5,31.376100540161133
2019-07-25,25.5,85.75,18.552309036254883
2019-07-25,25.5,86.0,37.679290771484375
2019-07-25,25.5,86.25,44.03351593017578
2019-07-25,25.5,86.5,5.189659595489502
2019-07-25,25.5,86.75,20.375967025756836
2019-07-25,25.5,87.0,2.999147653579712
2019-07-25,25.5,87.25,3.881861686706543
2019-07-25,25.5,87.5,11.943662643432617
2019-07-25,25.5,87.75,15.442675590515137
2019-07-25,25.5,88.0,14.890165328979492
2019-07-25,25.5,88.25,8.148917198181152
2019-07-25,25.5,88.5,6.55755615234375
2019-07-25,25.75,83.5,3.440763235092163
2019-07-25,25.75,83.75,1.980169653892517
2019-07-25,25.75,84.0,0.2846097946166992
2019-07-25,25.75,84.25,1.8258966207504272
2019-07-25,25.75,84.5,0.0
2019-07-25,25.75,84.75,12.640247344970703
2019-07-25,25.75,85.0,8.093371391296387
2019-07-25,25.75,85.25,2.555239200592041
2019-07-25,25.75,85.5,14.857965469360352
2019-07-25,25.75,85.75,2.193066358566284
2019-07-25,25.75,86.0,26.05781364440918
2019-07-25,25.75,86.25,37.286224365234375
2019-07-25,25.75,86.5,36.03318786621094
2019-07-25,25.75,86.75,6.209297180175781
2019-07-25,25.75,87.0,23.385772705078125
2019-07-25,25.75,87.25,32.69389343261719
2019-07-25,25.75,87.5,23.532032012939453
2019-07-25,25.75,87.75,31.127546310424805
2019-07-25,25.75,88.0,37.848777770996094
2019-07-25,25.75,88.25,16.230369567871094
2019-07-25,25.75,88.5,10.73851203918457
2019-07-25,26.0,83.5,10.73851203918457
2019-07-25,26.0,83.75,2.6109840869903564
2019-07-25,26.0,84.0,1.3367197513580322
2019-07-25,26.0,84.25,5.788573741912842
2019-07-25,26.0,84.5,4.291041851043701
2019-07-25,26.0,84.75,8.293414115905762
2019-07-25,26.0,85.0,17.701509475708008
2019-07-25,26.0,85.25,79.06574249267578
2019-07-25,26.0,85.5,25.931655883789062
2019-07-25,26.0,85.75,4.951310157775879
2019-07-25,26.0,86.0,26.471378326416016
2019-07-25,26.0,86.25,48.087318420410156
2019-07-25,26.0,86.5,44.802894592285156
2019-07-25,26.0,86.75,22.085126876831055
2019-07-25,26.0,87.0,33.017215728759766
